Jahr,Delikt,Geschlecht,Beziehungsart,Fälle,Straftaten_Total,davon_versucht,davon_mehrfach,Anzahl_geschaedigter_Personen_Total,<10 Jahre,10 - 19 Jahre,20 - 29 Jahre,30 - 39 Jahre,40 - 49 Jahre,50 - 59 Jahre,60 - 69 Jahre,70 Jahre und +
2009,Einfache Körperverletzung (Art. 123),weiblich,   ehemalige Partnerschaft,,,,,334,1,33.0,126.0,91.0,69,12,0,2
2009,Einfache Körperverletzung (Art. 123),weiblich,   Eltern-Kind-Beziehung,,,,,163,28,84.0,8.0,8.0,12,16,7,0
2009,Einfache Körperverletzung (Art. 123),weiblich,   andere Verwandtschaftsbeziehung,,,,,88,0,19.0,21.0,11.0,20,6,9,2
2009,Tätlichkeiten (Art. 126),Total,Alle,4454.0,4928.0,0.0,1068.0,4788,118,509.0,1307.0,1310.0,1021,359,115,48
2009,Tätlichkeiten (Art. 126),männlich,Alle,,,,,1087,64,141.0,197.0,235.0,272,119,40,19
2009,Tätlichkeiten (Art. 126),männlich,   Partnerschaft,,,,,636,1,7.0,125.0,176.0,208,81,26,12
2009,Tätlichkeiten (Art. 126),männlich,   ehemalige Partnerschaft,,,,,123,0,2.0,36.0,37.0,33,11,4,0
2009,Tätlichkeiten (Art. 126),männlich,   Eltern-Kind-Beziehung,,,,,245,59,110.0,20.0,8.0,20,18,6,4
2009,Tätlichkeiten (Art. 126),männlich,   andere Verwandtschaftsbeziehung,,,,,93,6,23.0,19.0,15.0,14,9,4,3
2009,Tätlichkeiten (Art. 126),weiblich,Alle,,,,,3701,54,368.0,1110.0,1075.0,749,240,75,29
2009,Tätlichkeiten (Art. 126),weiblich,   Partnerschaft,,,,,2581,0,106.0,801.0,858.0,570,167,60,18
2009,Tätlichkeiten (Art. 126),weiblich,   ehemalige Partnerschaft,,,,,647,0,60.0,261.0,192.0,109,22,2,1
2009,Tätlichkeiten (Art. 126),weiblich,   Eltern-Kind-Beziehung,,,,,394,52,178.0,36.0,26.0,51,35,8,8
2009,Tätlichkeiten (Art. 126),weiblich,   andere Verwandtschaftsbeziehung,,,,,129,2,34.0,31.0,13.0,26,16,5,2
2009,Aussetzung (Art. 127),Total,Alle,3.0,3.0,0.0,0.0,3,X,0.0,0.0,0.0,X,X,X,X
2009,Aussetzung (Art. 127),männlich,Alle,,,,,1,X,0.0,0.0,0.0,X,X,X,X
2009,Aussetzung (Art. 127),männlich,   Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Aussetzung (Art. 127),männlich,   ehemalige Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Aussetzung (Art. 127),männlich,   Eltern-Kind-Beziehung,,,,,1,X,0.0,0.0,0.0,X,X,X,X
